method,model,severity,mean_train_time_sec
native,lightgbm,10,2.683887179999874
native,lightgbm,20,2.752028599999176
native,lightgbm,30,2.4505990600002407
native,lightgbm,40,2.617857920000097
native,lightgbm,50,2.2605381000001215
native,xgboost,10,5.2014084000002185
native,xgboost,20,4.6320627000000965
native,xgboost,30,4.2437088999991825
native,xgboost,40,3.51997646000018
native,xgboost,50,3.146960499999113
spatial,lightgbm,10,2.3982691400007754
spatial,lightgbm,20,2.360606700000062
spatial,lightgbm,30,2.0453371199990213
spatial,lightgbm,40,1.9591517799999565
spatial,lightgbm,50,1.6904840400005923
spatial,xgboost,10,4.3469949599995745
spatial,xgboost,20,3.782626720000553
spatial,xgboost,30,3.340047400000185
spatial,xgboost,40,2.724712800000998
spatial,xgboost,50,2.520937760000379
spatiotemporal,lightgbm,10,2.4251414000013027
spatiotemporal,lightgbm,20,2.420052239999495
spatiotemporal,lightgbm,30,2.0863116999986233
spatiotemporal,lightgbm,40,2.043431739998778
spatiotemporal,lightgbm,50,1.8387291799997911
spatiotemporal,xgboost,10,4.324677799998608
spatiotemporal,xgboost,20,3.708751420000772
spatiotemporal,xgboost,30,3.3621130199993785
spatiotemporal,xgboost,40,2.819434320000437
spatiotemporal,xgboost,50,2.571517180000228
temporal,lightgbm,10,2.519162380000489
temporal,lightgbm,20,2.5666735400001928
temporal,lightgbm,30,2.168104419999145
temporal,lightgbm,40,1.9840432200006035
temporal,lightgbm,50,1.6840351599988934
temporal,xgboost,10,4.470639839999057
temporal,xgboost,20,3.791612140000507
temporal,xgboost,30,3.471527119998791
temporal,xgboost,40,2.734175660001347
temporal,xgboost,50,2.6627713600006246
