method,model,severity,seed,rmse,mae,r2,train_time_sec
native,lightgbm,10,1,25.646482726061187,15.319855824731432,0.9011995822125084,2.6346817999983614
native,lightgbm,10,2,25.6476425261881,15.249740068169148,0.9011906459907807,2.604722899999615
native,lightgbm,10,3,25.836582520325063,15.297961097011362,0.8997294743528744,2.5973403999996663
native,lightgbm,10,4,25.79511697742403,15.372787944733984,0.9000510676086833,2.972827400000824
native,lightgbm,10,5,25.645146097231084,15.296604394970402,0.9012098803923368,2.609863400000904
native,lightgbm,20,1,28.884838142727705,17.120076243338413,0.8746734649363745,3.1392946999985725
native,lightgbm,20,2,28.686802919491253,17.04526519052958,0.8763860581057177,2.7485764999983076
native,lightgbm,20,3,28.83311451761938,17.067188472345805,0.875121903578766,2.635671000000002
native,lightgbm,20,4,28.930324483395125,17.129032718988906,0.8742784387305592,2.641686999999365
native,lightgbm,20,5,28.85952194101701,17.106222296068047,0.8748930542880137,2.594913799999631
native,lightgbm,30,1,31.726165602194445,18.8950473736718,0.8488046865165929,2.4754387000029965
native,lightgbm,30,2,31.735363897932082,18.818244945198376,0.8487170023739865,2.4549622000013187
native,lightgbm,30,3,31.7940447299151,18.90768481784894,0.8481570201622434,2.4160091999983706
native,lightgbm,30,4,31.822918333617874,18.862766659932664,0.8478811040382399,2.4434153999973205
native,lightgbm,30,5,31.799713911266178,18.85584645464406,0.8481028652320615,2.4631698000011966
native,lightgbm,40,1,35.86221609401174,21.166190193875703,0.8068132205985088,3.0352846999994654
native,lightgbm,40,2,35.77524203269898,21.08745695136669,0.807749128414132,2.5392748000012944
native,lightgbm,40,3,35.85040141626993,21.18673534365705,0.8069404890063444,2.5206593000002613
native,lightgbm,40,4,35.899947896759066,21.165935501481094,0.8064064905692391,2.5317006000004767
native,lightgbm,40,5,35.81800179711648,21.15615708487214,0.807289284439374,2.462370199998986
native,lightgbm,50,1,39.48629633753778,23.801644221975355,0.7657951107311174,2.2334921000001486
native,lightgbm,50,2,39.466387795697216,23.800804379884298,0.7660312180815178,2.1539991999998165
native,lightgbm,50,3,39.47304449076055,23.787319004880956,0.7659522855888893,2.2305513999999675
native,lightgbm,50,4,39.486920854091764,23.776618942034474,0.7657877022881585,2.3847290000012435
native,lightgbm,50,5,39.351117481035374,23.71137978609994,0.7673959373373448,2.299918799999432
native,xgboost,10,1,25.748489058665196,15.266512491546735,0.9004120815606153,4.611567600000853
native,xgboost,10,2,25.656412712613847,15.252210615812622,0.9011230589120173,4.576228800000536
native,xgboost,10,3,25.759695793052735,15.228663232722523,0.9003253736980485,6.0428092000001925
native,xgboost,10,4,25.842139000300207,15.293204703814451,0.8996863408557427,5.522874800000864
native,xgboost,10,5,25.470809611409027,15.207274265055927,0.9025484714789626,5.253561599998648
native,xgboost,20,1,28.89841048009386,17.028506850039985,0.8745556610123109,4.728644599999825
native,xgboost,20,2,29.009571859393912,17.07776461537511,0.8735887299403069,4.495374800000718
native,xgboost,20,3,28.854046665742207,16.953191773921436,0.8749405207698762,4.59537089999867
native,xgboost,20,4,28.916950250463067,17.053545446328346,0.8743946517921162,4.831207399998675
native,xgboost,20,5,28.792033316361323,17.006535034652863,0.875477500787313,4.509715800002596
native,xgboost,30,1,32.060465138475976,18.912272608667614,0.8456016005601473,4.54902139999831
native,xgboost,30,2,31.932214260531193,18.861748203813843,0.8468344038866601,4.256274799998209
native,xgboost,30,3,31.907578049937943,18.77561083384129,0.8470706520982011,4.227348299998994
native,xgboost,30,4,32.187490718637825,19.039008982736423,0.8443757044759076,4.20468229999824
native,xgboost,30,5,32.0414286753447,18.876489489998267,0.8457848996373867,3.981217700002162
native,xgboost,40,1,36.253440357682926,21.278913033621244,0.8025752445377934,3.5432051999996474
native,xgboost,40,2,36.138905903412855,21.199396480259463,0.8038207107767004,3.793011600002501
native,xgboost,40,3,36.21590438243728,21.23067967109516,0.8029838509660168,3.4107532999987598
native,xgboost,40,4,36.31566640336437,21.326864602031293,0.8018969362286489,3.4811482000004617
native,xgboost,40,5,36.13697642071678,21.217764318047323,0.8038416585297976,3.37176399999953
native,xgboost,50,1,39.81007315234401,24.026790487445375,0.7619385319581987,3.399335099999007
native,xgboost,50,2,39.781914712354705,24.00380208417524,0.7622751838804047,3.115562899998622
native,xgboost,50,3,39.69178811151865,23.881088286837485,0.763351102927671,3.120349699998769
native,xgboost,50,4,39.7434072314503,23.944362699713686,0.7627351795050968,3.0867177000000083
native,xgboost,50,5,39.760920514671646,23.93013110073195,0.7625260277578744,3.0128370999991603
spatial,lightgbm,10,1,22.561102833378126,13.905954472164298,0.9235418463466004,2.410854100002325
spatial,lightgbm,10,2,22.855340761472473,13.929862686993545,0.921534534105388,2.510156399999687
spatial,lightgbm,10,3,22.828761595003897,13.915101756021583,0.9217169277112562,2.3852509999996983
spatial,lightgbm,10,4,22.82521714078921,13.966794939804581,0.9217412346999585,2.3311771000007866
spatial,lightgbm,10,5,22.794333532924874,13.91328671101871,0.9219528671155679,2.353907100001379
spatial,lightgbm,20,1,23.830795645058718,14.33196900573588,0.9146938698078373,2.4866388000009465
spatial,lightgbm,20,2,24.44957172209658,14.453405845907504,0.9102063411303032,2.425945999999385
spatial,lightgbm,20,3,24.134478037857335,14.345227442224093,0.91250585782709,2.32930579999811
spatial,lightgbm,20,4,24.120506846767096,14.392740777880363,0.9126071273520638,2.3215884000019287
spatial,lightgbm,20,5,24.12276810106285,14.403833237077588,0.9125907407335659,2.23955449999994
spatial,lightgbm,30,1,24.560492525401354,14.74568351450914,0.9093897560623705,2.1071325999982946
spatial,lightgbm,30,2,24.775003563439565,14.718949835263192,0.9078000665824129,2.0706924999976764
spatial,lightgbm,30,3,24.831756677407792,14.759261748400885,0.9073771704468552,1.9779402000021946
spatial,lightgbm,30,4,24.784106024422066,14.74654522000732,0.9077323046976543,2.0205738999975438
spatial,lightgbm,30,5,24.651984380381975,14.757148761020197,0.9087134226966647,2.0503463999993983
spatial,lightgbm,40,1,25.572490277349434,15.235063820726985,0.901768856308692,2.095870899996953
spatial,lightgbm,40,2,26.066782091433183,15.310918108332007,0.8979347275927007,1.9848716000014974
spatial,lightgbm,40,3,25.992268738711946,15.29331281808532,0.8985174121477537,1.9774280999990879
spatial,lightgbm,40,4,25.80834010165204,15.309645173033319,0.8999485694575607,1.8453014000006078
spatial,lightgbm,40,5,25.712157038776553,15.263834282325991,0.9006929273609554,1.8922869000016362
spatial,lightgbm,50,1,27.74333152641673,16.01913369215273,0.8843833505519898,1.7273074999975506
spatial,lightgbm,50,2,27.881654216011697,16.024194269226793,0.8832275936549946,1.6855911999991804
spatial,lightgbm,50,3,27.888389819566193,16.002875818868727,0.8831711674735513,1.711503000002267
spatial,lightgbm,50,4,27.955467914455298,16.066110798688626,0.8826084903122879,1.656004300002678
spatial,lightgbm,50,5,27.714688383447122,16.03098165371281,0.8846219603022916,1.6720142000012856
spatial,xgboost,10,1,22.80982097712336,13.832211280885073,0.9218467739716677,4.681468300001143
spatial,xgboost,10,2,22.793854445486826,13.846242856249422,0.9219561478439071,4.324091399997997
spatial,xgboost,10,3,23.226358843171948,13.898130393017123,0.9189663466495763,4.448082799997792
spatial,xgboost,10,4,23.0829690991282,13.872362244928842,0.91996379340991,4.316233800000191
spatial,xgboost,10,5,23.11504640013617,13.886641134228281,0.9197411938528017,3.9650985000007495
spatial,xgboost,20,1,24.44011253071873,14.333126282929369,0.9102758074676108,3.622393199999351
spatial,xgboost,20,2,24.471875126051682,14.388750589131023,0.9100424431509663,3.8420947000013257
spatial,xgboost,20,3,24.32164775361551,14.29722781440961,0.9111435118141243,3.788195799999812
spatial,xgboost,20,4,24.135429879907544,14.305229346857882,0.9124989563108615,3.6575067000012496
spatial,xgboost,20,5,24.111914668529252,14.260971791184211,0.9126693782327598,4.002943200001027
spatial,xgboost,30,1,24.65206310085979,14.679698778348389,0.9087128396900923,3.4837805999995908
spatial,xgboost,30,2,24.44034769643814,14.648352643942363,0.9102740807852339,3.5223963999997068
spatial,xgboost,30,3,24.56808351631538,14.627729707850735,0.9093337370040108,3.3547647000013967
spatial,xgboost,30,4,24.70073085038475,14.646455317864836,0.9083520483005797,3.2194320000016887
spatial,xgboost,30,5,24.488261467842865,14.659904589874248,0.9099219318468462,3.119863299998542
spatial,xgboost,40,1,25.563553471624257,15.221363457475972,0.9018375018917344,2.774512700001651
spatial,xgboost,40,2,25.484136073624825,15.177876822561782,0.9024464704926003,2.6975510000011127
spatial,xgboost,40,3,25.57178624500751,15.214086557036007,0.9017742650076027,2.701239900001383
spatial,xgboost,40,4,25.715811410406058,15.209966004758753,0.900664697077711,2.721357700000226
spatial,xgboost,40,5,25.579236587365717,15.18851205702408,0.9017170205152311,2.728902700000617
spatial,xgboost,50,1,27.926810516485492,15.968749194166252,0.8828490451060244,2.7307153000001563
spatial,xgboost,50,2,27.747482634677684,15.97199182254461,0.8843487495788817,2.5711499999997613
spatial,xgboost,50,3,28.16147470982451,15.98082107769475,0.8808719746522846,2.4042539000001852
spatial,xgboost,50,4,27.916256439042847,15.963340540231455,0.8829375755607453,2.416180100000929
spatial,xgboost,50,5,27.984167855051062,15.966391681538294,0.8823673311379501,2.4823895000008633
spatiotemporal,lightgbm,10,1,23.219389939420797,14.14199604714133,0.9190149664969788,2.437492900000507
spatiotemporal,lightgbm,10,2,23.564875434020863,14.221777877082355,0.9165870553526434,2.543535700002394
spatiotemporal,lightgbm,10,3,23.51628747314887,14.171912822861275,0.9169306758093028,2.3903205000024172
spatiotemporal,lightgbm,10,4,23.388579276006528,14.123761161532041,0.9178304630630189,2.373254400001315
spatiotemporal,lightgbm,10,5,23.356872459975094,14.112432456204216,0.918053098939667,2.381103499999881
spatiotemporal,lightgbm,20,1,24.42819969510609,14.744603569498329,0.9103632546146248,2.5604353000017
spatiotemporal,lightgbm,20,2,24.655060309235598,14.818569162694727,0.9086906408767135,2.4102677999981097
