severity,model,method,mean_rmse,std_rmse,native_mean_rmse,p_value_vs_native,significant_alpha_0.05,test
10,xgboost,temporal,22.5153563873313,0.20006087840676368,25.695509235208203,0.0625,False,wilcoxon_signed_rank
10,xgboost,spatial,23.0056099530093,0.19356172400593846,25.695509235208203,0.0625,False,wilcoxon_signed_rank
10,xgboost,spatiotemporal,23.373592914333425,0.08086212634493116,25.695509235208203,0.0625,False,wilcoxon_signed_rank
20,xgboost,temporal,23.005926364402132,0.13781173553273618,28.89420251441087,0.0625,False,wilcoxon_signed_rank
20,xgboost,spatial,24.29619599176454,0.16735312172522745,28.89420251441087,0.0625,False,wilcoxon_signed_rank
20,xgboost,spatiotemporal,24.62139788259174,0.06165942930759333,28.89420251441087,0.0625,False,wilcoxon_signed_rank
30,xgboost,temporal,22.745972228767044,0.162827203344874,32.025835368585525,0.0625,False,wilcoxon_signed_rank
30,xgboost,spatial,24.569897326368185,0.1087651546032607,32.025835368585525,0.0625,False,wilcoxon_signed_rank
30,xgboost,spatiotemporal,26.126252011668242,0.004235663790670416,32.025835368585525,0.0625,False,wilcoxon_signed_rank
40,xgboost,temporal,23.663772903560343,0.11000772805057607,36.212178693522844,0.0625,False,wilcoxon_signed_rank
40,xgboost,spatial,25.58290475760567,0.08356282121606196,36.212178693522844,0.0625,False,wilcoxon_signed_rank
40,xgboost,spatiotemporal,28.204240038839675,0.08114643272968702,36.212178693522844,0.0625,False,wilcoxon_signed_rank
50,xgboost,temporal,25.339165793198507,0.13319035021645984,39.757620744467864,0.0625,False,wilcoxon_signed_rank
50,xgboost,spatial,27.94723843101632,0.1487788015870575,39.757620744467864,0.0625,False,wilcoxon_signed_rank
50,xgboost,spatiotemporal,30.781734116118862,0.054593199702261355,39.757620744467864,0.0625,False,wilcoxon_signed_rank
10,lightgbm,temporal,22.302060065118077,0.1302329617334659,25.714194169445893,0.0625,False,wilcoxon_signed_rank
10,lightgbm,spatial,22.772951172713714,0.12038636052140736,25.714194169445893,0.0625,False,wilcoxon_signed_rank
10,lightgbm,spatiotemporal,23.40920091651443,0.13683366952156562,25.714194169445893,0.0625,False,wilcoxon_signed_rank
20,lightgbm,temporal,22.914106590554546,0.12912971621662672,28.838920400850093,0.0625,False,wilcoxon_signed_rank
20,lightgbm,spatial,24.131624070568513,0.21897409475616997,28.838920400850093,0.0625,False,wilcoxon_signed_rank
20,lightgbm,spatiotemporal,24.549149228563113,0.09249618906474386,28.838920400850093,0.0625,False,wilcoxon_signed_rank
30,lightgbm,temporal,22.990704865511013,0.11743601595498092,31.77564129498514,0.0625,False,wilcoxon_signed_rank
30,lightgbm,spatial,24.72066863421055,0.11145745030033426,31.77564129498514,0.0625,False,wilcoxon_signed_rank
30,lightgbm,spatiotemporal,26.326616659604174,0.10836831141242245,31.77564129498514,0.0625,False,wilcoxon_signed_rank
40,lightgbm,temporal,23.861976138365595,0.14388522209712726,35.84116184737125,0.0625,False,wilcoxon_signed_rank
40,lightgbm,spatial,25.83040764958463,0.20190557413160043,35.84116184737125,0.0625,False,wilcoxon_signed_rank
40,lightgbm,spatiotemporal,28.28017253127448,0.10785697029114769,35.84116184737125,0.0625,False,wilcoxon_signed_rank
50,lightgbm,temporal,25.194203786801136,0.07384883852768918,39.45275339182454,0.0625,False,wilcoxon_signed_rank
50,lightgbm,spatial,27.83670637197941,0.10295999553003443,39.45275339182454,0.0625,False,wilcoxon_signed_rank
50,lightgbm,spatiotemporal,30.730975137947024,0.037573003065052825,39.45275339182454,0.0625,False,wilcoxon_signed_rank
