model,severity,method_a,method_b,raw_p_value,bonferroni_p_value,significant_alpha_0.05,test
xgboost,10,temporal,spatial,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,10,temporal,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,10,spatial,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,20,temporal,spatial,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,20,temporal,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,20,spatial,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,30,temporal,spatial,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,30,temporal,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,30,spatial,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,40,temporal,spatial,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,40,temporal,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,40,spatial,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,50,temporal,spatial,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,50,temporal,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
xgboost,50,spatial,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,10,temporal,spatial,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,10,temporal,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,10,spatial,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,20,temporal,spatial,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,20,temporal,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,20,spatial,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,30,temporal,spatial,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,30,temporal,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,30,spatial,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,40,temporal,spatial,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,40,temporal,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,40,spatial,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,50,temporal,spatial,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,50,temporal,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
lightgbm,50,spatial,spatiotemporal,0.0625,0.1875,False,wilcoxon_signed_rank
