method,model,accuracy_score,robustness_score,efficiency_score,scenario,composite_score,rank
temporal,xgboost,0.9998424124177374,1.0,0.9605853161157342,accuracy_priority,0.9920382694320156,1
temporal,lightgbm,1.0,0.9853555431940677,0.9605853161157342,accuracy_priority,0.9877237261813672,2
spatial,xgboost,0.8204240320643927,0.8330457903569375,0.3898099144002153,accuracy_priority,0.7380877360193207,3
spatial,lightgbm,0.8228398091216184,0.8105199897938171,0.3898099144002153,accuracy_priority,0.7325378843789974,4
spatiotemporal,xgboost,0.6504112274367169,0.5849342869883873,0.0,accuracy_priority,0.5006858998148747,5
spatiotemporal,lightgbm,0.6462433557547231,0.5857769625734877,0.0,accuracy_priority,0.49885476664940787,6
native,lightgbm,0.021240659798565598,0.033045546951743,1.0,accuracy_priority,0.22053399398480572,7
native,xgboost,0.0,0.0,1.0,accuracy_priority,0.2,8
temporal,xgboost,0.9998424124177374,1.0,0.9605853161157342,efficiency_priority,0.9802532611623014,1
temporal,lightgbm,1.0,0.9853555431940677,0.9605853161157342,efficiency_priority,0.976631543856384,2
spatial,xgboost,0.8204240320643927,0.8330457903569375,0.3898099144002153,efficiency_priority,0.6082724128054402,3
spatial,lightgbm,0.8228398091216184,0.8105199897938171,0.3898099144002153,efficiency_priority,0.6032449069289665,4
native,lightgbm,0.021240659798565598,0.033045546951743,1.0,efficiency_priority,0.5135715516875772,5
native,xgboost,0.0,0.0,1.0,efficiency_priority,0.5,6
spatiotemporal,xgboost,0.6504112274367169,0.5849342869883873,0.0,efficiency_priority,0.30883637860627605,7
spatiotemporal,lightgbm,0.6462433557547231,0.5857769625734877,0.0,efficiency_priority,0.3080050795820527,8
temporal,xgboost,0.9998424124177374,1.0,0.9605853161157342,equal,0.9868092428444906,1
temporal,lightgbm,1.0,0.9853555431940677,0.9605853161157342,equal,0.9819802864366005,2
spatial,xgboost,0.8204240320643927,0.8330457903569375,0.3898099144002153,equal,0.6810932456071818,3
spatial,lightgbm,0.8228398091216184,0.8105199897938171,0.3898099144002153,equal,0.6743899044385502,4
spatiotemporal,xgboost,0.6504112274367169,0.5849342869883873,0.0,equal,0.4117818381417014,5
spatiotemporal,lightgbm,0.6462433557547231,0.5857769625734877,0.0,equal,0.41067343944273693,6
native,lightgbm,0.021240659798565598,0.033045546951743,1.0,equal,0.3514287355834362,7
native,xgboost,0.0,0.0,1.0,equal,0.3333333333333333,8
